    Classification Q/N Qlength AveWordLen my  I take_verb pill_words feel_verb
1                1   1      64       4.33  1  0         0          0         0
2                1   1      73       3.81  1  2         0          1         0
3                0   0       8       4.88  0  0         0          0         0
4                1   1      65       4.28  0  4         0          0         1
5                1   1      81       3.52  1  7         2          0         0
6                1   1      47       4.81  0  1         2          0         0
7                1   1      66       4.34  2  3         0          1         0
8                0   0       4       5.25  0  0         0          0         0
9                0   0       9       4.56  0  0         0          0         0
10               0   0       9       4.44  0  0         0          0         0
11               1   1      60       4.63  1  1         0          0         0
12               1   1      44       3.88  1  1         1          0         0
13               1   1      43       4.26  0  0         0          0         1
14               1   1      71       3.92  3  4         3          1         0
15               1   1      67       4.51  0  3         2          0         0
16               0   1      20       4.45  0  1         0          0         0
17               1   1      54       4.06  1  3         1          0         1
18               1   1      39       4.15  0  2         0          0         0
19               1   1      44       4.60  1  0         0          2         0
20               0   1      23       4.43  0  1         0          0         0
21               0   0      14       4.36  0  0         0          0         0
22               1   1      65       4.49  3  3         2          1         2
23               1   1      55       4.22  1  3         2          2         0
24               1   1      69       3.93  4  4         1          1         2
25               1   1      65       4.20  1  6         2          0         0
26               0   0       5       6.00  0  0         0          0         0
27               1   1      67       4.19  1  0         0          0         0
28               1   1      39       4.15  0  2         0          0         0
29               1   1      62       4.79  1  1         0          0         0
30               0   0      10       4.33  0  0         0          0         0
31               1   1      72       4.00  0  5         1          0         1
32               1   1      26       5.12  0  0         2          0         0
33               0   0      14       4.86  0  0         0          0         0
34               1   1      71       3.83  2  5         1          0         0
35               1   1      62       3.77  2  8         0          2         2
36               0   0       8       4.12  0  0         0          1         0
37               1   1      31       4.47  1  1         2          0         0
38               0   0      10       4.90  0  0         0          0         0
39               1   1      58       4.65  0  2         1          0         0
40               1   1      77       3.53  3  6         1          0         0
41               1   1      65       4.58  1  0         2          1         0
42               0   0       8       4.25  0  0         0          0         0
43               1   1      71       4.00  0  2         2          0         2
44               1   1      85       3.32  5  9         2          0         2
45               1   1      37       4.84  0  3         2          0         0
46               0   1      32       4.62  0  0         0          0         0
47               1   1      46       3.96  2  4         1          0         0
48               1   1      59       5.40  4  2         0          0         0
49               1   1      75       4.10  3  2         1          0         0
50               1   0      21       4.10  0  1         1          0         0
51               1   1      75       3.75  2  4         0          0         0
52               1   1      73       3.73  3  3         1          1         0
53               1   1      71       4.28  2  0         1          0         0
54               0   1      27       4.78  1  1         0          0         0
55               1   1      68       4.21  1  0         0          0         0
56               1   1      69       4.12  1  4         0          0         0
57               1   1      47       4.62  0  2         0          0         0
58               1   1      42       3.85  0  3         1          0         0
59               1   1      64       4.30  0  4         0          0         0
60               1   0      22       4.24  0  1         1          0         0
61               1   1      18       5.12  0  0         0          0         0
62               1   1      74       3.61  2  2         0          0         0
63               1   0      20       4.30  0  1         1          1         0
64               1   1      70       4.16  2  4         0          0         0
65               1   1      49       4.02  1  1         1          0         0
66               1   1      45       4.20  0  1         0          0         0
67               1   1      67       4.39  0  3         2          0         0
68               1   1      36       4.78  0  1         0          0         0
69               1   1      34       3.76  0  0         1          3         0
70               1   1      62       4.35  1  1         0          0         0
71               1   1      24       4.67  0  0         0          0         0
72               0   1      33       4.61  0  1         0          0         0
73               1   1      72       3.61  1  4         3          1         0
74               1   1      71       4.06  2  3         0          0         0
75               1   1      74       3.79  2  5         1          0         0
76               1   1      66       4.06  0  5         1          0         0
77               1   1      49       3.57  1  2         2          1         0
78               1   1      40       4.15  0  1         1          0         0
79               1   1      32       4.31  0  1         1          0         0
80               1   1      39       3.79  0  0         0          0         0
81               0   1      13       6.69  0  0         0          0         0
82               1   1      74       4.62  0  6         2          1         2
83               1   1      63       4.02  0  9         1          0         1
84               1   1      64       4.29  1  2         2          0         0
85               1   1      43       4.84  0  1         0          0         0
86               1   1      73       4.33  1  4         0          1         0
87               1   1      43       3.72  0  1         2          0         1
88               1   1      77       4.00  0  5         5          0         0
89               1   1      12       4.67  0  2         1          0         0
90               1   1      87       3.40  4  5         1          2         1
91               1   1      73       4.00  2  5         2          0         0
92               1   1      77       3.89  2  5         1          1         0
93               1   0      12       4.17  1  0         0          0         0
94               1   1      23       5.04  0  1         0          0         0
95               1   1      70       4.93  1  2         0          0         0
96               1   1      14       5.29  0  0         0          0         0
97               0   0       8       4.75  0  0         0          0         0
98               1   1      65       4.22  1  0         0          0         0
99               1   1      77       3.82  2  4         2          0         0
100              1   1      30       5.48  0  1         1          0         0
101              1   1      79       3.35  4  5         3          1         0
102              1   0      17       4.88  0  0         0          0         0
103              1   1      25       4.40  0  1         0          0         0
104              1   1      74       4.55  1  0         1          0         0
105              1   1      62       4.35  2  4         1          0         3
106              1   1      21       3.81  1  1         2          0         0
107              0   0       7       4.71  0  0         0          0         0
108              1   1      14       3.79  0  0         0          0         0
109              1   1      56       3.56  1  3         0          0         0
110              1   0       8       5.12  0  0         0          0         0
111              1   1      19       5.37  0  0         0          0         0
 [ reached getOption("max.print") -- omitted 279 rows ]
